pcode,name,hierarchy,parent_pcode
PH099701002,Aguada,ASM4,PH099701000
PH104210001,Aguada (Pob.),ASM4,PH104210000
PH056211001,Aguada Norte,ASM4,PH056211000
PH056211002,Aguada Sur,ASM4,PH056211000
PH084808002,Aguadahan,ASM4,PH084808000
PH084819002,Aguadahan,ASM4,PH084819000
PH042122011,Aguado (Piscal Mundo),ASM4,PH042122000
PH175108002,Aguas,ASM4,PH175108000
PH140110001,Aguet,ASM4,PH140110000
PH072221001,Aguho,ASM4,PH072221000
PH137606001,Aguho,ASM4,PH137606000
PH063030002,Aguiauan,ASM4,PH063030000
PH144409001,Aguid,ASM4,PH144409000
PH021513005,Aguiguican,ASM4,PH021513000
PH041022001,Aguila,ASM4,PH041022000
PH060615002,Aguila,ASM4,PH060615000
PH067904001,Aguilar,ASM4,PH067904000
PH084804001,Aguin,ASM4,PH084804000
PH023120001,Aguinaldo,ASM4,PH023120000
PH034928022,Aguinaldo,ASM4,PH034928000
PH056203003,Aguinaldo,ASM4,PH056203000
PH063022003,Aguinaldo,ASM4,PH063022000
PH082601001,Aguinaldo,ASM4,PH082601000
PH082607028,Aguinaldo,ASM4,PH082607000
PH084805001,Aguinaldo,ASM4,PH084805000
PH086408001,Aguinaldo,ASM4,PH086408000
PH098309001,Aguinaldo,ASM4,PH098309000
PH118202001,Aguinaldo,ASM4,PH118202000
PH160303032,Aguinaldo,ASM4,PH160303000
PH023109001,Aguinaldo (Rizaluna Este),ASM4,PH023109000
PH012930001,Aguing,ASM4,PH012930000
PH063023004,Aguingay,ASM4,PH063023000
PH086014001,Aguingayan,ASM4,PH086014000
PH071235001,Aguining,ASM4,PH071235000
PH013311001,Aguioas,ASM4,PH013311000
PH071231003,Aguipo,ASM4,PH071231000
PH063044001,Aguirre,ASM4,PH063044000
PH064510001,Aguisan,ASM4,PH064510000
PH051612001,Aguit-It,ASM4,PH051612000
PH086003074,Aguit-itan (Pob.),ASM4,PH086003000
PH012822001,Aguitap,ASM4,PH012822000
PH083726001,Aguiting,ASM4,PH083726000
PH174001002,Agumaymayan,ASM4,PH174001000
PH104212001,Agunod,ASM4,PH104212000
PH034916002,Agupalo Este,ASM4,PH034916000
PH034916003,Agupalo Weste,ASM4,PH034916000
