"Summary of Core ICT Indicators for Establishments Under Business Process Management (BPM) Activities: Philippines"

"Geolocation","Industry Description","Number of establishments 2013","Number of establishments 2015","Number of establishments 2017","Establishments with computers and communication equipment 2013","Establishments with computers and communication equipment 2015","Establishments with computers and communication equipment 2017","Establishments with internet access 2013","Establishments with internet access 2015","Establishments with internet access 2017","Number of employees 2013","Number of employees 2015","Number of employees 2017","Employees using computer routinely at work 2013","Employees using computer routinely at work 2015","Employees using computer routinely at work 2017","Employees using computer with internet connection routinely at work 2013","Employees using computer with internet connection routinely at work 2015","Employees using computer with internet connection routinely at work 2017","Establishments with web presence 2013","Establishments with web presence 2015","Establishments with web presence 2017","Establishments with intranet 2013","Establishments with intranet 2015","Establishments with intranet 2017","Establishments with extranet 2013","Establishments with extranet 2015","Establishments with extranet 2017","Establishments with wired local area network 2013","Establishments with wired local area network 2015","Establishments with wired local area network 2017","Establishments with wireless local area network 2013","Establishments with wireless local area network 2015","Establishments with wireless local area network 2017","Establishments with wide area network 2013","Establishments with wide area network 2015","Establishments with wide area network 2017","Establishments with e-commerce via the internet 2013","Establishments with e-commerce via the internet 2015","Establishments with e-commerce via the internet 2017","Establishments with e-commerce via network channels other than the internet 2013","Establishments with e-commerce via network channels other than the internet 2015","Establishments with e-commerce via network channels other than the internet 2017","Establishments with business transaction via cellular mobile phone/ smartphone 2013","Establishments with business transaction via cellular mobile phone/ smartphone 2015","Establishments with business transaction via cellular mobile phone/ smartphone 2017","Establishments which used the internet for finance accounting and auditing 2013","Establishments which used the internet for finance accounting and auditing 2015","Establishments which used the internet for finance accounting and auditing 2017","Establishments which used the internet for internal or external recruitment 2013","Establishments which used the internet for internal or external recruitment 2015","Establishments which used the internet for internal or external recruitment 2017","Establishments which used the internet for staff training 2013","Establishments which used the internet for staff training 2015","Establishments which used the internet for staff training 2017","Establishments which used the internet for sharing or distribution of information within the establishment 2013","Establishments which used the internet for sharing or distribution of information within the establishment 2015","Establishments which used the internet for sharing or distribution of information within the establishment 2017","Establishments which used the internet for sharing or distribution of information with other organizations 2013","Establishments which used the internet for sharing or distribution of information with other organizations 2015","Establishments which used the internet for sharing or distribution of information with other organizations 2017","Establishments which used the internet for obtaining information from other organizations 2013","Establishments which used the internet for obtaining information from other organizations 2015","Establishments which used the internet for obtaining information from other organizations 2017","Establishments which used the internet for obtaining information from government organizations 2013","Establishments which used the internet for obtaining information from government organizations 2015","Establishments which used the internet for obtaining information from government organizations 2017","Establishments which used the internet for downloading or requesting government forms 2013","Establishments which used the internet for downloading or requesting government forms 2015","Establishments which used the internet for downloading or requesting government forms 2017","Establishments which used the internet for completing forms on-line or sending completed forms 2013","Establishments which used the internet for completing forms on-line or sending completed forms 2015","Establishments which used the internet for completing forms on-line or sending completed forms 2017","Establishments which used the internet for making on-line payments to government corporations 2013","Establishments which used the internet for making on-line payments to government corporations 2015","Establishments which used the internet for making on-line payments to government corporations 2017","Establishments which used the internet for sending or receiving e-mails 2013","Establishments which used the internet for sending or receiving e-mails 2015","Establishments which used the internet for sending or receiving e-mails 2017","Establishments with Social Media Account 2013","Establishments with Social Media Account 2015","Establishments with Social Media Account 2017"
"..Region V (Bicol Region)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Computer programming activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Computer consultancy and computer facilities management activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Data processing",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region V (Bicol Region)","..Website hosting services",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region V (Bicol Region)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Customer relationship management activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region V (Bicol Region)","..Sales and marketing (including telemarketing) activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Other call centers activities (voice), n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Medical transcription activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region V (Bicol Region)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","Business Process Management",21.0,..,31.0,100.0,..,100.0,100.0,..,100.0,14975.0,..,23797.0,97.9,..,92.8,97.9,..,92.7,47.6,..,32.3,61.9,..,74.2,19.1,..,38.7,76.2,..,90.3,47.6,..,80.6,57.1,..,51.6,28.6,..,6.5,14.3,..,6.5,14.3,..,41.9,42.9,..,67.7,76.2,..,77.4,57.1,..,71.0,66.7,..,74.2,52.4,..,64.5,76.2,..,71.0,76.2,..,77.4,81.0,..,80.6,52.4,..,80.6,28.6,..,64.5,..,..,93.5,..,..,41.9
"..Region VI (Western Visayas)","..Software publishing",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Other publishing activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Motion picture, video and television programme activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Motion picture, video and television programme post-production activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Computer programming activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region VI (Western Visayas)","..Computer consultancy and computer facilities management activities",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VI (Western Visayas)","..Other information technology and computer service activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Data processing",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VI (Western Visayas)","..Website hosting services",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VI (Western Visayas)","..Application hosting services",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Web portals",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Customer relationship management activities",8.0,..,13.0,100.0,..,100.0,100.0,..,100.0,8543.0,..,13082.0,96.5,..,98.2,96.5,..,98.2,37.5,..,23.1,87.5,..,92.3,50.0,..,53.8,100.0,..,92.3,75.0,..,84.6,75.0,..,61.5,12.5,..,0.0,12.5,..,7.7,12.5,..,23.1,75.0,..,61.5,100.0,..,76.9,62.5,..,69.2,87.5,..,76.9,50.0,..,69.2,75.0,..,69.2,75.0,..,84.6,87.5,..,84.6,75.0,..,76.9,62.5,..,61.5,..,..,100.0,..,..,46.2
"..Region VI (Western Visayas)","..Sales and marketing (including telemarketing) activities",7.0,..,7.0,100.0,..,100.0,100.0,..,100.0,6317.0,..,9651.0,99.8,..,89.5,99.8,..,89.5,57.1,..,28.6,57.1,..,71.4,0.0,..,42.9,100.0,..,100.0,42.9,..,71.4,71.4,..,42.9,57.1,..,14.3,28.6,..,0.0,0.0,..,71.4,28.6,..,71.4,71.4,..,71.4,57.1,..,85.7,57.1,..,71.4,57.1,..,71.4,71.4,..,85.7,85.7,..,57.1,85.7,..,85.7,57.1,..,100.0,0.0,..,57.1,..,..,100.0,..,..,28.6
"..Region VI (Western Visayas)","..Other call centers activities (voice), n.e.c.",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VI (Western Visayas)","..Medical transcription activities",s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,s,..,s,..,..,s,..,..,s
"..Region VI (Western Visayas)","..On-line employment placement agencies",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Finance and accounting activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Human resources and training activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Administrative support activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Document processes activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Payroll maintenance and other transaction processing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Legal services activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Other non-voice related activities, n.e.c.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Engineering outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Publishing outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Research and analysis activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Intellectual property research and documentation activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Other back office operations activities, n.e.c",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Product development activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VI (Western Visayas)","..Security outsourcing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","Business Process Management",117.0,..,165.0,100.0,..,99.4,100.0,..,99.4,47930.0,..,75412.0,98.3,..,99.6,93.6,..,85.6,45.3,..,60.6,64.1,..,63.0,29.1,..,26.1,59.8,..,95.8,59.8,..,79.4,47.9,..,44.2,23.1,..,15.2,15.4,..,1.2,13.7,..,45.5,46.2,..,78.7,64.1,..,81.7,51.3,..,75.6,72.7,..,80.5,52.1,..,72.6,57.3,..,75.6,85.5,..,86.0,91.5,..,87.2,40.2,..,85.4,54.7,..,75.6,..,..,89.0,..,..,48.5
"..Region VII (Central Visayas)","..Software publishing",..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s
"..Region VII (Central Visayas)","..Other publishing activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Motion picture, video and television programme activities",s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,s,..,..,..,..,..,..,..,..
"..Region VII (Central Visayas)","..Motion picture, video and television programme post-production activities",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
